code,NAME,DATE,TYPE,TITLE,DURATION,LINK,ENG SUB,MEMBERS,KEYWORDS,TAG,ERA,SEASON,EPISODE,SOURCE,NOTES,ALT LINKS
2405210,2024.05.17 [MUSIC SHOW] Music Bank - tripleS (Unit A) ‘Girls Never Die’,2024-05-17,Performance,Girls Never Die - tripleS トリプルエス 트리플에스 [Music Bank] | KBS WORLD TV 240517,0:03:16,https://youtu.be/0I5Giqwfr6o,NO,"Chaewon,Dahyun,Jiwoo,Jiyeon,Joobin,Kotone,Lynn,Nakyoung,Seoyeon,Soomin,Xinyu,Yeonji","assemble24,girls never die,music bank,music show,performance","music show,performance,youtube",ASSEMBLE24,Divine01,,ALL THE K-POP,,
2405211,2024.05.17 [FANCAM] Music Bank - tripleS (Unit A) - ‘Girls Never Die’ (K-Choreo 8K),2024-05-17,Fancam,[K-Choreo 8K] 트리플에스 직캠 'Girls Never Die' (tripleS Choreography) @MusicBank 240517,0:03:29,https://youtu.be/LbTrFFzmeP0,,"Chaewon,Dahyun,Jiwoo,Jiyeon,Joobin,Kotone,Lynn,Nakyoung,Seoyeon,Soomin,Xinyu,Yeonji","8K,assemble24,fancam,girls never die,music bank,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,KBS Kpop,,
2405212,2024.05.17 [FANCAM] Music Bank - tripleS SeoYeon- ‘Girls Never Die’,2024-05-17,Fancam,[K-Fancam] 트리플에스 윤서연 직캠 'Girls Never Die'(tripleS Yoon SeoYeon Fancam) @뮤직뱅크(Music Bank) 240517,0:03:28,https://youtu.be/mp0AlLV6hxU,,Seoyeon,"4K,fancam,girls never die,music bank,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,KBS Kpop,,
2405213,2024.05.17 [FANCAM] Music Bank - tripleS NaKyoung- ‘Girls Never Die’,2024-05-17,Fancam,[K-Fancam] 트리플에스 김나경 직캠 'Girls Never Die'(tripleS Kim NaKyoung Fancam) @뮤직뱅크(Music Bank) 240517,0:03:29,https://youtu.be/t2qlCs957N4,,Nakyoung,"4K,fancam,girls never die,music bank,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,KBS Kpop,,
2405214,2024.05.17 [FANCAM] Music Bank - tripleS Xinyu- ‘Girls Never Die’,2024-05-17,Fancam,[K-Fancam] 트리플에스 신위 직캠 'Girls Never Die'(tripleS Xinyu Fancam) @뮤직뱅크(Music Bank) 240517,0:03:27,https://youtu.be/FsgQkNz_yww,,Xinyu,"4K,fancam,girls never die,music bank,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,KBS Kpop,,
2405215,2024.05.17 [BEHIND] tripleS ‘Girls Never Die’ MV Behind ep.03,2024-05-17,Behind,YooYeon's beauty still shines even right after diving 💖 | EN | Girls Never Die MV ep.03,0:04:36,https://youtu.be/YO1RpSRSkaU,YES,"Nien,Yooyeon,Yubin","bathtub,behind,girls never die,music video shoot","behind,official,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405216,2024.05.17 [VARIETY] What Is BTS In Your Language?,2024-05-17,Variety,"What Is BTS In Your Language? l Brazil, Japan, China, Vietnam, Korea l triple S l Word Difference",0:09:52,https://youtu.be/vur7izfluHA,YES,"Mayu,Nien,Seoyeon,Xinyu,Yeonji","language lesson,variety","variety,youtube",ASSEMBLE24,Divine01,,Awesome world 어썸월드,,
2405217,2024.05.18 [SHORTS] Purple Kiss ‘BBB’ Challenge with YuBin & Xinyu,2024-05-18,Shorts,BBB Never Die #PURPLE_KISS #Yuki #트리플에스 #tripleS #유빈 #YuBin #신위 #Xinyu #BBBchallenge,0:00:20,https://youtu.be/slVq3tT3QTA,,"Xinyu,Yubin","dance challenge,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,PURPLE KISS,,
2405218,2024.05.18 [SHORTS] ‘Girls Never Die’ Challenge with Lynn & JooBin,2024-05-18,Shorts,Stand up again with Lynn&JooBin💕 #tripleS #트리플에스 #トリプルS #린 #Lynn #주빈 #JooBin#ASSEMBLE24 #Girls_Never_Die,0:00:19,https://youtu.be/iVeN455Na_8,,"Joobin,Lynn","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405219,"2024.05.18 [SHORTS] ‘Girls Never Die’ Challenge with YuBin, JiYeon & BOYNEXTDOOR  JaeHyun",2024-05-18,Shorts,I want to reach for the sky with BOYNEXTDOOR Myung Jae-hyun 👊🔥#tripleS #트리플에스 #ASSEMBLE24 #Girls_Never_Die #BOYNEXTDOOR,0:00:24,https://youtu.be/omiqTEkr_Ro,,"Jiyeon,Yubin","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405220,"2024.05.18 [SHORTS] ‘Girls Never Die’ Challenge under cherry blossoms with Kotone, Nien & Xinyu",2024-05-18,Shorts,"Under the cherry blossoms, we go We high🔥 🔥 #tripleS #트리플에스 #코토네 #Kotone #니엔 #Nien #신위 #Xinyu #ASSEMBLE24 #Girls_Never_Die",0:00:26,https://youtu.be/_NsI022w-wY,,"Kotone,Nien,Xinyu","cherry blossoms,dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405221,2024.05.18 [SHORTS] ‘Girls Never Die’ % Dance,2024-05-18,Shorts,Girls Never Die Percent dance💥 #tripleS #트리플에스 #YooYeon #SooMin #YeonJi #HaYeon #ASSEMBLE24 #Girls_Never_Die,0:00:24,https://youtu.be/Ik32Uj3IhYA,,"Hayeon,Soomin,Yeonji,Yooyeon","dance challenge,girls never die,percent dance,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405222,2024.05.18 [SHORTS] ‘Girls Never Die’ OT24 Dance Battle,2024-05-18,Shorts,tripleS main dancer match! Who is the winner? 👀 #tripleS #tripleS #トリプル #ASSEMBLE24 #Girls_Never_Die,0:00:45,https://youtu.be/thhk19f0pyg,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","dance battle,girls never die,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405223,2024.05.18 [WEB DRAMA] What's Up Ep.7,2024-05-18,Drama,"Sh*t, Dad's Coming [What's Up?] Ep.7 (SUB)",0:07:36,https://youtu.be/3iQdM_fU5Pc,YES,Yooyeon,web drama,"drama,youtube",ASSEMBLE24,Divine01,7,MEME STUDIO,,
2405224,2024.05.18 [VARIETY] Lucky Survival EP.10 ft. YooYeon,2024-05-18,Variety,[ENG SUB] tripleS's Yooyeon Joins Students for a CSAT English Class | Lucky Survival Ep.10,0:15:33,https://youtu.be/CD9zBK8iGwY,YES,Yooyeon,"fan-subbed,studying,variety","variety,youtube",ASSEMBLE24,Divine01,,MangoNim,,
2405225,2024.05.18 [MUSIC SHOW] Music Core tripleS ‘Girls Never Die’,2024-05-18,Performance,tripleS (트리플에스) - Girls Never Die | Show! MusicCore | MBC240518방송,0:03:25,https://youtu.be/xeQVvnhImJk,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","assemble24,girls never die,music core,music show","music show,performance,youtube",ASSEMBLE24,Divine01,,MBCkpop,,
2405226,2024.05.18 [FANCAM] Music Core tripleS ‘Girls Never Die’,2024-05-18,Fancam,[예능연구소] tripleS (트리플에스) – Girls Never Die 풀캠 | 쇼! 음악중심 | MBC240518방송,0:03:39,https://youtu.be/yZoLBSw2UR0,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","4K,assemble24,fancam,girls never die,music core,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,MBCkpop,,
2405227,2024.05.18 [RELAY DANCE] tripleS ‘Girls Never Die’,2024-05-18,Dance,[릴레이댄스] tripleS(트리플에스) - Girls Never Die (4K),0:04:50,https://youtu.be/xzDP8k9CsJI,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","4K,assemble24,girls never die,relay dance","dance,youtube",ASSEMBLE24,Divine01,,M2,,
2405228,2024.05.19 [SHORTS] Pochacco → Hamster feat. Yoon SeoYeon,2024-05-19,Shorts,How our Pochacco becomes a hamster🐹 포차코가 어떻게 햄스터?🐹 #tripleS #트리플에스 #トリプルS #서연 #SeoYeon #ASSEMBLE24 #Girls_Never_Die,0:00:08,https://youtu.be/D3rJ0fKy5iQ,,Seoyeon,"hamster,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405229,"2024.05.19 [SHORTS] ‘Girls Never Die’ Challenge with YuBin, Kotone & FANTASY BOYS LingQi & Hikaru",2024-05-19,Shorts,FANTASY BOYS Never Die! 👊💙 #tripleS #트리플에스#FANTASYBOYS #판타지보이즈#LINGQI #링치 #HIKARU #히카루#Girls_Never_Die,0:00:24,https://youtu.be/yHSQzIjAj-U,,"Kotone,Yubin","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405230,2024.05.19 [SHORTS] ‘Girls Never Die’ Challenge,2024-05-19,Shorts,Hold me closer broken myself 👊🖤#tripleS #트리플에스 #トリプルS#ASSEMBLE24 #Girls_Never_Die,0:00:26,https://youtu.be/MDU45ASVmxI,,"Hyerin,Kaede,Kotone,Lynn,Nien,Sohyun,Yubin","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405231,"2024.05.19 [RADIO] tripleS Seoyeon, Jiwoo, and Sohyun The K-pop Stars Radio | Love Game | Top 10 Songs | SBS (ENG SUB)",2024-05-19,Radio,"[ENG SUB] tripleS Seoyeon, Jiwoo, and Sohyun The K-pop Stars Radio | Love Game | Top 10 Songs | SBS",0:45:11,https://youtu.be/IMnuL8q2tuw,YES,"Jiwoo,Seoyeon,Sohyun","assemble24,fan-subbed,radio","radio,youtube",ASSEMBLE24,Divine01,,MangoNim,,
2405232,2024.05.19 [SecretBase] Nien,2024-05-19,SecretBase,SecretBase 240509 Nien.SSS [ EN ],0:05:52,https://youtu.be/-pWNAB0OxlY,YES,Nien,"assemble24,self-cam","official,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405233,2024.05.19 [MUSIC SHOW] Inkigayo - tripleS ‘Girls Never Die’,2024-05-19,Performance,tripleS (트리플에스) - Girls Never Die @인기가요 inkigayo 20240519,0:03:43,https://youtu.be/wgUvEGKcpaA,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","assemble24,girls never die,inkigayo,music show","music show,performance,youtube",ASSEMBLE24,Divine01,,SBS K-POP X INKIGAYO,,
2405234,2024.05.19 [FANCAM] Inkigayo - tripleS ‘Girls Never Die’ (FullCam),2024-05-19,Fancam,[안방1열 풀캠4K] 트리플에스 'Girls Never Die' (tripleS FullCam)│@SBS Inkigayo 240519,0:03:43,https://youtu.be/OY72dfsTMpQ,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","assemble24,fancam,girls never die,inkigayo,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,SBS K-POP X INKIGAYO,,
2405235,2024.05.19 [FANCAM] Inkigayo - tripleS SeoYeon ‘Girls Never Die’,2024-05-19,Fancam,[안방1열 직캠4K] 트리플에스 윤서연 'Girls Never Die' (tripleS Yoon SeoYeon FanCam) @SBS Inkigayo 240519,0:03:50,https://youtu.be/iwfZ0oxG11o,,Seoyeon,"4K,assemble24,fancam,girls never die,inkigayo,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,SBS K-POP ZOOM,,
2405236,2024.05.19 [FANCAM] Inkigayo - tripleS YooYeon ‘Girls Never Die’,2024-05-19,Fancam,[안방1열 직캠4K] 트리플에스 김유연 'Girls Never Die' (tripleS Kim YooYeon FanCam) @SBS Inkigayo 240519,0:03:48,https://youtu.be/kYsFaBd4VEs,,Yooyeon,"4K,assemble24,fancam,girls never die,inkigayo,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,SBS K-POP ZOOM,,
2405237,2024.05.19 [FANCAM] Inkigayo - tripleS NaKyoung ‘Girls Never Die’,2024-05-19,Fancam,[안방1열 직캠4K] 트리플에스 김나경 'Girls Never Die' (tripleS Kim NaKyoung FanCam) @SBS Inkigayo 240519,0:04:00,https://youtu.be/tj91cNOkCkA,,Nakyoung,"4K,assemble24,fancam,girls never die,inkigayo,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,SBS K-POP ZOOM,,
2405238,2024.05.19 [FANCAM] Inkigayo - tripleS YuBin ‘Girls Never Die’,2024-05-19,Fancam,[안방1열 직캠4K] 트리플에스 공유빈 'Girls Never Die' (tripleS Gong YuBin FanCam) @SBS Inkigayo 240519,0:03:53,https://youtu.be/4kCQDPF7SvI,,Yubin,"4K,assemble24,fancam,girls never die,inkigayo,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,SBS K-POP ZOOM,,
2405239,2024.05.19 [FANCAM] Inkigayo - tripleS Xinyu ‘Girls Never Die’,2024-05-19,Fancam,[안방1열 직캠4K] 트리플에스 신위 'Girls Never Die' (tripleS Xinyu FanCam) @SBS Inkigayo 240519,0:03:56,https://youtu.be/6AovYRwLtRg,,Xinyu,"4K,assemble24,fancam,girls never die,inkigayo,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,SBS K-POP ZOOM,,
2405240,2024.05.20 [SIGNAL],2024-05-20,SIGNAL,tripleS Badge War Complete Edition! Let's wait for it together | EN | SIGNAL 240520,0:12:02,https://youtu.be/De9TRo4c4Xk,YES,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","badge war girls never die,reaction","official,youtube",ASSEMBLE24,Divine01,SIGNAL 521,tripleS official,,
2405241,"2024.05.20 [SHORTS] ‘Girls Never Die’ Challenge with YooYeon, NaKyoung & Kino",2024-05-20,Shorts,LA LA LA LA LA LA LA 🫲🏻✋🏻🫱🏻 with KINO Sunbaenim #tripleS #트리플에스 #トリプルS #유연 #나경 #ASSEMBLE24 #Girls_Never_Die #키노 #KINO,0:00:24,https://youtu.be/opd7BEflU_g,,"Nakyoung,Yooyeon","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405242,"2024.05.20 [SHORTS] ‘Girls Never Die’ Challenge with Xinyu, Lynn & YaoChen",2024-05-20,Shorts,Get up even if you fall with YaoChen 👊💥 #tripleS #트리플에스 #トリプルS#신위 #린#야오천 #YAOCHEN#ASSEMBLE24 #Girls_Never_Die,0:00:24,https://youtu.be/EK1-wHLnbiY,,"Lynn,Xinyu","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405243,"2024.05.20 [SHORTS] ‘Girls Never Die’ Challenge with Lynn, JooBin & ChaeWon",2024-05-20,Shorts,We Go 👉 We High👆#tripleS #트리플에스 #린 #Lynn #주빈 #JooBin #채원 #ChaeWon #ASSEMBLE24 #Girls_Never_Die,0:00:23,https://youtu.be/6SWr8u-Iprs,,"Chaewon,Joobin,Lynn","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405244,2024.05.20 [SHORTS] ‘Girls Never Die’ Challenge,2024-05-20,Shorts,Let's Go Now Together🔥 #tripleS #트리플에스 #トリプルS #ASSEMBLE24 #Girls_Never_Die,0:00:24,https://youtu.be/yjtUVXG5foI,,"Chaewon,Chaeyeon,Hayeon,Kotone,Mayu,Seoyeon,Soomin,Sullin,Yeonji,Yooyeon,Yubin","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405245,2024.05.20 [SHORTS] ‘Girls Never Die’ Challenge,2024-05-20,Shorts,"If we stay together, nothing can fear us😎#tripleS #트리플에스 #トリプルS #ASSEMBLE24 #Girls_Never_Die",0:00:28,https://youtu.be/TTnV_OPRB3s,,"Chaewon,Chaeyeon,Hayeon,Jiwoo,Joobin,Lynn,Nakyoung,Nien,Sohyun,Sullin,Xinyu,Yooyeon","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405246,2024.05.20 [RADIO] tripleS (Assemble 24 Unit A) on Idol Radio (FULL),2024-05-20,"Interview,Radio",[ENG SUB] tripleS Assemble24 IDOL RADIO 240520｜MBC Radio,1:39:25,https://youtu.be/vn-yZze9sHI,YES,"Chaewon,Dahyun,Jiwoo,Jiyeon,Joobin,Kotone,Lynn,Nakyoung,Seoyeon,Soomin,Xinyu,Yeonji","cover dance,fan-subbed,idol radio,interview","radio,youtube",ASSEMBLE24,Divine01,,MangoNim,https://www.youtube.com/watch?v=pVIp2mmoxuA,
2405247,2024.05.20 [FANCAM] Music Core tripleS ChaeYeon ‘Girls Never Die’,2024-05-20,Fancam,[#최애직캠] tripleS Kim ChaeYeon (트리플에스 김채연) - Girls Never Die | 쇼! 음악중심 | MBC240518방송,0:03:45,https://youtu.be/RScR4D5EsIo,,Chaeyeon,"4K,assemble24,fancam,girls never die,music core,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,MBCkpop,,
2405248,2024.05.20 [FANCAM] Music Core tripleS YooYeon ‘Girls Never Die’,2024-05-20,Fancam,[#최애직캠] tripleS Kim YooYeon (트리플에스 김유연) - Girls Never Die | 쇼! 음악중심 | MBC240518방송,0:04:26,https://youtu.be/6HgLQOvTDms,,Yooyeon,"4K,assemble24,fancam,girls never die,music core,music show","fancam,music show,youtube",ASSEMBLE24,Divine01,,MBCkpop,,
2405249,2024.05.21 [MUSIC SHOW] THE SHOW - tripleS (Unit A) - ‘Girls Never Die’,2024-05-21,Performance,"tripleS, Girls Never Die [THE SHOW 240521]",0:03:22,https://youtu.be/SDvJCJ44BE4,,"Chaewon,Dahyun,Jiwoo,Jiyeon,Joobin,Kotone,Lynn,Nakyoung,Seoyeon,Soomin,Xinyu,Yeonji","assemble24,girls never die,music show,the show","music show,performance,youtube",ASSEMBLE24,Divine01,,THE K-POP,,
2405250,"2024.05.21 [SHORTS] ‘Girls Never Die’ Challenge with NaKyoung, Xinyu & WayV XiaoJun",2024-05-21,Shorts,Never Die with XiaoJun Sunbaenim🔥#tripleS #트리플에스 #나경 #신위 #샤오쥔 #XIAOJUN #WayV #ASSEMBLE24,0:00:22,https://youtu.be/0wf6DICo_Y4,,"Nakyoung,Xinyu","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405251,2024.05.21 [SHORTS] ‘Girls Never Die’ Challenge with YooYeon,2024-05-21,Shorts,Dark Angel YooYeon Never Die🖤 #tripleS #트리플에스 #トリプルS #유연 #YooYeon #ASSEMBLE24,0:00:22,https://youtu.be/XHJO_H7_uxE,,Yooyeon,"dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405252,2024.05.21 [RADIO] Idol Radio (tripleS Unit A ‘Girls Never Die’),2024-05-21,"Dance,Radio",Girls Never Die – tripleS (트리플에스) 12인 버전🎶,0:03:03,https://youtu.be/FzyK_t_j4nc,NO,"Chaewon,Dahyun,Jiwoo,Jiyeon,Joobin,Kotone,Lynn,Nakyoung,Seoyeon,Soomin,Xinyu,Yeonji","girls never die,idol radio","dance,radio,youtube",ASSEMBLE24,Divine01,,MBC Radio,,
2405253,2024.05.21 [RADIO] Idol Radio (tripleS Unit A Dance Cover Medley),2024-05-21,Radio,다인원의 맛✨ 트리플에스 댄스메들리 #첫만남은계획대로되지않아 #SHEESH #MidasTouch #Misfit,0:02:45,https://youtu.be/Jhy0fQ3JztM,NO,"Chaewon,Dahyun,Jiwoo,Jiyeon,Joobin,Kotone,Lynn,Nakyoung,Seoyeon,Soomin,Xinyu,Yeonji","cover dance,idol radio","radio,youtube",ASSEMBLE24,Divine01,,MBC Radio,"Songs Covered: Plot Twist (TWS), SHEESH (Baby Monster), Midas Touch (Kiss Of Life), Misfit (NCT U), Drama (aespa), Into The New World (Girls’ Generation)",
2405254,2024.05.21 [RADIO] Idol Radio (Nakyoung  & Lynn Teach The Boyz Sunwoo ‘Girls Never Die’),2024-05-21,Radio,포기 안 하니 완전 럭키떤키잖아?🍀 #GirlsNeverDie 챌린지,0:02:47,https://youtu.be/b7MPbZgwfhU,NO,"Lynn,Nakyoung","dance challenge,idol radio","radio,youtube",ASSEMBLE24,Divine01,,MBC Radio,,
2405255,2024.05.21 [BEHIND] tripleS ‘Girls Never Die’ MV Behind ep.04,2024-05-21,Behind,Ants are walking on SooMin's hand... For real! 🐜🐜 | EN | Girls Never Die MV ep.04,0:05:40,https://youtu.be/ymGpQMj4kMk,YES,"Nien,Soomin,Yooyeon","behind,gaming,girls never die,music video shoot","behind,official,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405256,"2023.05.21 [SPECIAL CLIP] [SoundLess Live] ARTMS HeeJin, HaSeul & tripleS Lee JiWoo, Seo DaHyun - 감정의 이름 (by 조이 (JOY)) | 한 사람만 OST",2024-05-21,Special Clip,"[SoundLess Live] ARTMS 희진, 하슬 & tripleS 이지우, 서다현 - 감정의 이름 (by 조이 (JOY)) | 한 사람만 OST | GOGOSING",0:03:48,https://youtu.be/ZTHZ-9-3s7I,,"Dahyun,Jiwoo","artms,ballad,collaboration,performance,singing","performance,special clip,youtube",ASSEMBLE24,Divine01,,GOGOSING,,
2405257,2024.05.22 [SHORTS] ‘Girls Never Die’ MV Behind Recap,2024-05-22,Shorts,Dazzling Shine Better Even Underwater✨#tripleS #트리플에스 #トリプルS#유연 #YooYeon#ASSEMBLE24 #Girls_Never_Die,0:00:41,https://youtu.be/oD3qEEhWybU,NO,Yooyeon,"bathtub,behind,girls never die,music video shoot,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405258,2024.05.22 [SHORTS] ‘Girls Never Die’ Challenge,2024-05-22,Shorts,GND dance in Girls' secret agit 🏡 #tripleS #트리플에스 #トリプルS,0:00:24,https://youtu.be/KGzZ7B-YAEw,,"Chaeyeon,Hyerin,Jiyeon,Kaede,Kotone,Seoah,Sullin,Yeonji,Yubin","dance challenge,girls never die,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405259,2024.05.22 [SHORTS] ‘Girls Never Die’ MV Behind Recap,2024-05-22,Shorts,Game girl SooMin has nothing to be scared of. 🫳🐜 #tripleS #tripleS #トリプルS #Soomin,0:00:43,https://youtu.be/PB8ZGB9_g3I,NO,Soomin,"behind,gaming,girls never die,music video shoot,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Divine01,,tripleS official,,
2405260,2024.05.22 [MUSIC SHOW] Show Champion - tripleS - ‘Non-Scale’,2024-05-22,Performance,트리플에스(tripleS) - Non Scale l Show Champion l EP.518 l 240522,0:03:32,https://youtu.be/8vIeZQ1gF2w,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","assemble24,music show,non scale,show champion","music show,performance,youtube",ASSEMBLE24,Divine01,,ALL THE K-POP,,
2405261,2024.05.22 [MUSIC SHOW] Show Champion - tripleS - ‘Girls Never Die’,2024-05-22,Performance,[COMEBACK] 트리플에스(tripleS) - Girls Never Die l Show Champion l EP.518 l 240522,0:03:46,https://youtu.be/bnFFYbOMRBI,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","assemble24,girls never die,music show,show champion","music show,performance,youtube",ASSEMBLE24,Divine01,,ALL THE K-POP,,
2405262,2024.05.22 [FANCAM] Show Champion - tripleS ‘Non Scale’,2024-05-22,Fancam,[쇼챔직캠 4K] tripleS(트리플에스) - Non Scale | Show Champion | EP.518 | 240522,0:03:34,https://youtu.be/6PdVnbJv-C0,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","4K,assemble24,fancam,music show,non scale,show champion","fancam,music show,youtube",ASSEMBLE24,Divine01,,ALL THE K-POP,,
2405263,2024.05.22 [FANCAM] Show Champion - tripleS ‘Girls Never Die’,2024-05-22,Fancam,[쇼챔직캠 4K] tripleS(트리플에스) - Girls Never Die | Show Champion | EP.518 | 240522,0:03:40,https://youtu.be/KrwAS4kiWAQ,,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","4K,assemble24,fancam,girls never die,music show,show champion","fancam,music show,youtube",ASSEMBLE24,Divine01,,ALL THE K-POP,,
2405264,2024.05.22 [FANCAM] Show Champion - tripleS SeoYeon - ‘Non Scale’,2024-05-22,Fancam,[쇼챔직캠 4K] tripleS Yoon SeoYeon (트리플에스 윤서연) - Non Scale | Show Champion | EP.518 | 240522,0:03:34,https://youtu.be/J_ofpYhm_OM,,Seoyeon,"4K,assemble24,fancam,music show,non scale,show champion","fancam,music show,youtube",ASSEMBLE24,Divine01,,ALL THE K-POP,,
